zonas,areas_quartos,enderecos,precos
sul,44 m² construídos1 quarto,"Rua Constantino De Sousa, Campo Belo, São Paulo Zona Sul, São Paulo",2.200
sul,50 m² construídos1 quarto,"Rua Sampaio Viana, Paraíso, São Paulo Zona Sul, São Paulo",3.500
sul,280 m² construídos4 quartos,"Rua Camundó, Planalto Paulista, São Paulo Zona Sul, São Paulo",6.000
sul,110 m² construídos3 quartos,"Rua Nora Ney, Socorro, São Paulo Zona Sul, São Paulo",2.100
sul,55 m² construídos1 quarto,"Rua Borges Lagoa, Vila Clementino, São Paulo Zona Sul, São Paulo",2.300
sul,56 m² construídos2 quartos,"Avenida Diederichsen, Vila Guarani (z Sul), São Paulo Zona Sul, São Paulo",1.720
sul,270 m² construídos3 quartos,"Rua Mestro João Nunes, Jardim Guedala, São Paulo Zona Sul, São Paulo",5.000
sul,125 m² construídos3 quartos,"Rua Engenheiro Jorge Oliva, Vila Mascote, São Paulo Zona Sul, São Paulo",2.200
sul,138 m² construídos3 quartos,"Rua Fernandes Moreira, Chácara Santo Antônio, São Paulo Zona Sul, São Paulo",5.300
sul,84 m² construídos2 quartos,"Avenida Professor Alceu Maynard Araújo, Vila Cruzeiro, São Paulo Zona Sul, São Paulo",3.100
sul,250 m² construídos2 quartos,"Rua Guararapes, Brooklin Paulista, São Paulo Zona Sul, São Paulo",8.500
sul,30 m² construídos1 quarto,"Rua Doutor Diogo De Faria, Vila Clementino, São Paulo Zona Sul, São Paulo",1.500
sul,56 m² construídos2 quartos,"Rua José Da Silva Ribeiro, Vila Andrade, São Paulo Zona Sul, São Paulo",2.200
sul,50 m² construídos2 quartos,"Rua Celso Ramos, Vila Andrade, São Paulo Zona Sul, São Paulo",1.800
sul,43 m² construídos1 quarto,"Rua Das Fiandeiras, Vila Olímpia, São Paulo Zona Sul, São Paulo",2.800
sul,136 m² construídos3 quartos,"Rua Manuel De Morais, Vila Mariana, São Paulo Zona Sul, São Paulo",7.500
sul,125 m² construídos3 quartos,"Rua Diamante, Aclimação, São Paulo Zona Sul, São Paulo",3.850
sul,80 m² construídos3 quartos,"Rua José Ramon Urtiza, Vila Andrade, São Paulo Zona Sul, São Paulo",3.650
sul,50 m² construídos1 quarto,"Rua Da Contagem, Vila Da Saúde, São Paulo Zona Sul, São Paulo",1.545
sul,73 m² construídos2 quartos,"Rua Princesa Isabel, Brooklin Paulista, São Paulo Zona Sul, São Paulo",2.600
sul,72 m² construídos2 quartos,"Rua Gama Cerqueira, Cambuci, São Paulo Zona Sul, São Paulo",1.700
sul,135 m² construídos3 quartos,"Praça Beato Padre Ludovico Pavoni, Real Parque, São Paulo Zona Sul, São Paulo",2.980
sul,58 m² construídos2 quartos,"Rua Sena Madureira, Vila Clementino, São Paulo Zona Sul, São Paulo",4.800
sul,184 m² construídos2 quartos,"Alameda Campinas, Jardim Paulista, São Paulo Zona Sul, São Paulo",4.460
sul,26 m² construídos1 quarto,"Rua Alvorada, Vila Olímpia, São Paulo Zona Sul, São Paulo",2.900
sul,149 m² construídos3 quartos,"Avenida Engenheiro Alberto De Zagottis, Jardim Taquaral, São Paulo Zona Sul, São Paulo",5.610
sul,113 m² construídos2 quartos,"Rua Antônio Felício, Itaim Bibi, São Paulo Zona Sul, São Paulo",6.000
sul,112 m² construídos2 quartos,"Rua Conde De Irajá, Vila Mariana, São Paulo Zona Sul, São Paulo",2.500
sul,127 m² construídos4 quartos,"Rua Leonardo Cerveira Varandas, Paraíso Do Morumbi, São Paulo Zona Sul, São Paulo",4.890
sul,55 m² construídos2 quartos,"Rua Correia De Lemos, Chácara Inglesa, São Paulo Zona Sul, São Paulo",2.200
sul,41 m² construídos1 quarto,"Rua Bandeira Paulista, Itaim Bibi, São Paulo Zona Sul, São Paulo",2.000
sul,123 m² construídos3 quartos,"Rua Estevão Baião, Vila Congonhas, São Paulo Zona Sul, São Paulo",4.800
sul,62 m² construídos2 quartos,"Rua Tenente Américo Moretti, Vila Santa Catarina, São Paulo Zona Sul, São Paulo",1.900
sul,78 m² construídos2 quartos,"Rua Dos Otonis, Vila Clementino, São Paulo Zona Sul, São Paulo",2.700
sul,98 m² construídos3 quartos,"Rua Da Independência, Cambuci, São Paulo Zona Sul, São Paulo",4.200
sul,217 m² construídos4 quartos,"Rua Tuiucuê, Jardim Da Saúde, São Paulo Zona Sul, São Paulo",4.950
sul,123 m² construídos3 quartos,"Rua Estêvão Baião, Vila Congonhas, São Paulo Zona Sul, São Paulo",4.800
sul,36 m² construídos1 quarto,"Alameda Lorena, Jardim Paulista, São Paulo Zona Sul, São Paulo",2.500
sul,124 m² construídos3 quartos,"Avenida João Peixoto Viegas, Jardim Consórcio, São Paulo Zona Sul, São Paulo",3.800
sul,36 m² construídos1 quarto,"Rua José Bento, Cambuci, São Paulo Zona Sul, São Paulo",1.600
sul,276 m² construídos2 quartos,"Rua Volta Redonda, Campo Belo, São Paulo Zona Sul, São Paulo",7.500
sul,80 m² construídos2 quartos,"Avenida Iraí, Indianópolis, São Paulo Zona Sul, São Paulo",3.200
sul,34 m² construídos2 quartos,"Rua François Coty, Cambuci, São Paulo Zona Sul, São Paulo",2.150
sul,60 m² construídos2 quartos,"Rua Alexandre Leví, Cambuci, São Paulo Zona Sul, São Paulo",2.470
sul,42 m² construídos1 quarto,"Rua Do Paraíso, Paraíso, São Paulo Zona Sul, São Paulo",3.200
sul,120 m² construídos1 quarto,"Rua Doutor Inácio Arruda, Vila Monumento, São Paulo Zona Sul, São Paulo",2.000
sul,180 m² construídos3 quartos,"Rua Eça De Queiroz, Vila Mariana, São Paulo Zona Sul, São Paulo",5.500
sul,58 m² construídos2 quartos,"Rua Correia Dias, Paraíso, São Paulo Zona Sul, São Paulo",2.730
sul,147 m² construídos3 quartos,"Rua Professor José Leite E Oiticica, Vila Gertrudes, São Paulo Zona Sul, São Paulo",9.800
sul,35 m² construídos1 quarto,"Avenida Da Aclimação, Aclimação, São Paulo Zona Sul, São Paulo",1.995
sul,30 m² construídos1 quarto,"Praça Manuel Vaz De Toledo, Vila Clementino, São Paulo Zona Sul, São Paulo",2.430
sul,66 m² construídos2 quartos,"Rua Kansas, Brooklin Paulista, São Paulo Zona Sul, São Paulo",5.000
sul,68 m² construídos2 quartos,"Rua Urano, Aclimação, São Paulo Zona Sul, São Paulo",2.870
sul,44 m² construídos1 quarto,"Avenida Jacutinga, Indianópolis, São Paulo Zona Sul, São Paulo",2.451
sul,85 m² construídos2 quartos,"Rua João De Lacerda Soares, Jardim Das Acácias, São Paulo Zona Sul, São Paulo",1.866
sul,185 m² construídos3 quartos,"Avenida Engenheiro Alberto De Zagottis, Jardim Taquaral, São Paulo Zona Sul, São Paulo",5.950
sul,51 m² construídos1 quarto,"Rua Gabriele D#39annunzio, Campo Belo, São Paulo Zona Sul, São Paulo",3.250
sul,65 m² construídos2 quartos,"Rua Dom Pedro Silva, Vila Gumercindo, São Paulo Zona Sul, São Paulo",3.200
sul,150 m² construídos3 quartos,"Alameda Lorena, Jardim Paulista, São Paulo Zona Sul, São Paulo",4.700
